No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,N6,BN,,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,,Delta Diff1,Delta Diff2,Delta Diff3,Delta Diff4,Delta Diff5,Delta Diff6,,,Guess1,Guess2,Guess3,Guess4,Guess5,Guess6,Sum,Check1,Check2,Check3,Check4,Check5,Check6
1123, Wed,27,Sep,2006,2,3,16,27,44,48,24,,2,1,13,11,17,4,,-4,-19,11,4,10,3,,,5,8,7,7,15,16,58,5,13,15,14,22,31
1122, Sat,23,Sep,2006,6,26,28,35,42,43,38,,6,20,2,7,7,1,,3,2,-6,1,4,-6,,,2,3,5,9,15,11,45,2,5,8,14,24,26
1121, Wed,20,Sep,2006,3,21,29,35,38,45,46,,3,18,8,6,3,7,,-8,17,4,-11,2,-2,,,4,8,7,9,9,12,49,4,12,15,16,18,21
1120, Sat,16,Sep,2006,11,12,16,33,34,43,28,,11,1,4,17,1,9,,3,-6,2,-6,-2,4,,,4,1,1,8,10,15,39,4,5,2,9,18,25
1119, Wed,13,Sep,2006,8,15,17,40,43,48,21,,8,7,2,23,3,5,,6,-6,-4,7,-3,2,,,3,6,4,7,15,12,47,3,9,10,11,22,27
1118, Sat,9,Sep,2006,2,15,21,37,43,46,36,,2,13,6,16,6,3,,-3,11,-1,1,-2,2,,,5,1,3,7,13,10,39,5,6,4,10,20,23
1117, Wed,6,Sep,2006,5,7,14,29,37,38,12,,5,2,7,15,8,1,,2,-3,-5,13,-4,-5,,,1,5,7,7,10,11,41,1,6,12,14,17,21
1116, Sat,2,Sep,2006,3,8,20,22,34,40,38,,3,5,12,2,12,6,,-16,3,11,-14,6,1,,,4,2,8,7,16,13,50,4,6,10,15,23,29
1115, Wed,30,Aug,2006,19,21,22,38,44,49,45,,19,2,1,16,6,5,,9,-5,-6,9,-5,-2,,,4,3,8,9,12,10,46,4,7,11,17,21,22
1114, Sat,26,Aug,2006,10,17,24,31,42,49,5,,10,7,7,7,11,7,,4,-3,3,6,9,-7,,,1,2,1,7,13,13,37,1,3,3,8,20,26
1113, Wed,23,Aug,2006,6,16,20,21,23,37,40,,6,10,4,1,2,14,,0,-13,2,-2,-4,6,,,4,4,3,9,11,9,40,4,8,7,12,20,20
1112, Sat,19,Aug,2006,6,29,31,34,40,48,4,,6,23,2,3,6,8,,2,19,-6,-1,1,2,,,5,3,7,7,9,10,41,5,8,10,14,16,19
1111, Wed,16,Aug,2006,4,8,16,20,25,31,43,,4,4,8,4,5,6,,-20,-2,0,-1,2,3,,,3,2,7,7,13,10,42,3,5,9,14,20,23
1110, Sat,12,Aug,2006,24,30,38,43,46,49,6,,24,6,8,5,3,3,,22,4,0,1,1,-20,,,2,8,6,9,9,9,43,2,10,14,15,18,18
1109, Wed,9,Aug,2006,2,4,12,16,18,41,48,,2,2,8,4,2,23,,-1,-6,6,-1,-6,18,,,3,5,5,7,14,15,49,3,8,10,12,21,29
1108, Sat,5,Aug,2006,3,11,13,18,26,31,35,,3,8,2,5,8,5,,-2,5,1,-4,-15,-1,,,2,6,2,9,10,12,41,2,8,8,11,19,22
1107, Wed,2,Aug,2006,5,8,9,18,41,47,49,,5,3,1,9,23,6,,1,2,-10,6,21,-22,,,2,8,2,9,16,9,46,2,10,10,11,25,25
1106, Sat,29,Jul,2006,4,5,16,19,21,49,20,,4,1,11,3,2,28,,-3,-9,1,0,-1,22,,,1,3,7,7,8,14,40,1,4,10,14,15,22
1105, Wed,26,Jul,2006,7,17,27,30,33,39,6,,7,10,10,3,3,6,,-13,8,9,0,-2,-10,,,2,7,7,8,9,10,43,2,9,14,15,17,19
1104, Sat,22,Jul,2006,20,22,23,26,31,47,2,,20,2,1,3,5,16,,16,-15,-3,-9,-3,15,,,5,1,8,7,13,15,49,5,6,9,15,20,28
1103, Wed,19,Jul,2006,4,21,25,37,45,46,6,,4,17,4,12,8,1,,-2,11,-3,11,-10,0,,,5,6,7,8,16,12,54,5,11,13,15,24,28
1102, Sat,15,Jul,2006,6,12,19,20,38,39,13,,6,6,7,1,18,1,,-12,4,1,0,17,-10,,,5,2,4,8,12,13,44,5,7,6,12,20,25
1101, Wed,12,Jul,2006,18,20,26,27,28,39,45,,18,2,6,1,1,11,,12,-2,-3,-9,-2,1,,,1,3,3,8,8,12,35,1,4,6,11,16,20
1100, Sat,8,Jul,2006,6,10,19,29,32,42,13,,6,4,9,10,3,10,,-1,-6,-3,6,-6,7,,,3,7,2,8,15,11,46,3,10,9,10,23,26
1099, Wed,5,Jul,2006,7,17,29,33,42,45,24,,7,10,12,4,9,3,,-11,0,7,0,7,0,,,5,6,7,7,16,16,57,5,11,13,14,23,32
1098, Sat,1,Jul,2006,18,28,33,37,39,42,15,,18,10,5,4,2,3,,7,9,-17,-1,-3,-1,,,3,5,3,9,16,13,49,3,8,8,12,25,29
1097, Wed,28,Jun,2006,11,12,34,39,44,48,21,,11,1,22,5,5,4,,2,-4,15,3,-11,-1,,,3,1,7,8,14,16,49,3,4,8,15,22,30
1096, Sat,24,Jun,2006,9,14,21,23,39,44,19,,9,5,7,2,16,5,,1,-3,-4,-9,10,0,,,3,7,6,8,14,8,46,3,10,13,14,22,22
1095, Wed,21,Jun,2006,8,16,27,38,44,49,31,,8,8,11,11,6,5,,-17,7,4,4,5,-1,,,2,7,7,9,10,13,48,2,9,14,16,19,23
1094, Sat,17,Jun,2006,25,26,33,40,41,47,10,,25,1,7,7,1,6,,21,-2,4,-16,-1,-8,,,1,8,7,9,14,9,48,1,9,15,16,23,23
1093, Wed,14,Jun,2006,4,7,10,33,35,49,46,,4,3,3,23,2,14,,-10,-10,-2,16,0,8,,,2,1,7,8,8,9,35,2,3,8,15,16,17
1092, Sat,10,Jun,2006,14,27,32,39,41,47,12,,14,13,5,7,2,6,,8,10,3,4,-17,-9,,,2,7,5,8,13,10,45,2,9,12,13,21,23
1091, Wed,7,Jun,2006,6,9,11,14,33,48,31,,6,3,2,3,19,15,,2,1,1,1,0,4,,,1,3,2,8,10,8,32,1,4,5,10,18,18
1090, Sat,3,Jun,2006,4,6,7,9,28,39,20,,4,2,1,2,19,11,,0,-10,-15,0,18,9,,,4,8,3,8,8,12,43,4,12,11,11,16,20
1089, Wed,31,May,2006,4,16,32,34,35,37,1,,4,12,16,2,1,2,,-1,9,12,-10,-3,-1,,,1,8,6,9,14,16,54,1,9,14,15,23,30
1088, Sat,27,May,2006,5,8,12,24,28,31,22,,5,3,4,12,4,3,,4,-13,-4,8,-8,-2,,,4,7,3,7,10,8,39,4,11,10,10,17,18
1087, Wed,24,May,2006,1,17,25,29,41,46,6,,1,16,8,4,12,5,,-5,6,7,-1,10,-16,,,1,8,1,9,15,10,44,1,9,9,10,24,25
1086, Sat,20,May,2006,6,16,17,22,24,45,48,,6,10,1,5,2,21,,3,3,-8,-9,0,18,,,2,3,5,7,12,11,40,2,5,8,12,19,23
1085, Wed,17,May,2006,3,10,19,33,35,38,8,,3,7,9,14,2,3,,0,-5,3,13,-12,-8,,,1,4,3,7,15,16,46,1,5,7,10,22,31
1084, Sat,13,May,2006,3,15,21,22,36,47,27,,3,12,6,1,14,11,,-5,7,-9,-3,10,1,,,4,7,6,9,14,11,51,4,11,13,15,23,25
1083, Wed,10,May,2006,8,13,28,32,36,46,15,,8,5,15,4,4,10,,6,0,11,-6,-8,9,,,1,5,1,9,10,13,39,1,6,6,10,19,23
1082, Sat,6,May,2006,2,7,11,21,33,34,8,,2,5,4,10,12,1,,-7,3,-7,-7,11,-1,,,5,3,3,7,13,14,45,5,8,6,10,20,27
1081, Wed,3,May,2006,9,11,22,39,40,42,12,,9,2,11,17,1,2,,-1,-17,9,16,-3,-9,,,5,6,7,7,14,16,55,5,11,13,14,21,30
1080, Sat,29,Apr,2006,10,29,31,32,36,47,17,,10,19,2,1,4,11,,9,-7,-3,0,-8,8,,,2,1,6,9,8,10,36,2,3,7,15,17,18
1079, Wed,26,Apr,2006,1,27,32,33,45,48,25,,1,26,5,1,12,3,,-8,11,-1,-9,10,-3,,,2,3,4,7,10,16,42,2,5,7,11,17,26
1078, Sat,22,Apr,2006,9,24,30,40,42,48,15,,9,15,6,10,2,6,,6,9,-18,-1,-1,4,,,3,8,3,8,15,16,53,3,11,11,11,23,31
1077, Wed,19,Apr,2006,3,9,33,44,47,49,38,,3,6,24,11,3,2,,-4,-2,20,7,-11,-9,,,5,2,3,9,8,15,42,5,7,5,12,17,23
1076, Sat,15,Apr,2006,7,15,19,23,37,48,45,,7,8,4,4,14,11,,0,-4,-3,-8,8,6,,,5,5,7,9,12,14,52,5,10,12,16,21,26
1075, Wed,12,Apr,2006,7,19,26,38,44,49,24,,7,12,7,12,6,5,,2,11,6,1,-4,-7,,,1,2,5,7,9,13,37,1,3,7,12,16,22
1074, Sat,8,Apr,2006,5,6,7,18,28,40,12,,5,1,1,11,10,12,,4,0,-13,5,6,-11,,,5,1,6,9,8,15,44,5,6,7,15,17,23
1073, Wed,5,Apr,2006,1,2,16,22,26,49,15,,1,1,14,6,4,23,,-8,-7,13,3,2,7,,,3,4,2,8,9,11,37,3,7,6,10,17,20
1072, Sat,1,Apr,2006,9,17,18,21,23,39,45,,9,8,1,3,2,16,,7,4,-11,-15,1,9,,,1,2,7,9,12,15,46,1,3,9,16,21,27
1071, Wed,29,Mar,2006,2,6,18,36,37,44,19,,2,4,12,18,1,7,,0,0,8,11,-11,6,,,5,6,2,8,14,10,45,5,11,8,10,22,24
1070, Sat,25,Mar,2006,2,6,10,17,29,30,9,,2,4,4,7,12,1,,-2,0,-4,4,-3,-5,,,1,3,6,8,11,13,42,1,4,9,14,19,24
1069, Wed,22,Mar,2006,4,8,16,19,34,40,38,,4,4,8,3,15,6,,-3,1,-4,1,5,-4,,,4,7,5,7,14,12,49,4,11,12,12,21,26
1068, Sat,18,Mar,2006,7,10,22,24,34,44,18,,7,3,12,2,10,10,,6,-10,5,-7,5,-3,,,2,2,2,8,12,9,35,2,4,4,10,20,21
1067, Wed,15,Mar,2006,1,14,21,30,35,48,24,,1,13,7,9,5,13,,-3,8,3,-7,3,8,,,3,3,6,9,10,13,44,3,6,9,15,19,23
1066, Sat,11,Mar,2006,4,9,13,29,31,36,16,,4,5,4,16,2,5,,3,-5,1,-5,0,0,,,1,6,5,8,15,9,44,1,7,11,13,23,24
1065, Wed,8,Mar,2006,1,11,14,35,37,42,26,,1,10,3,21,2,5,,0,-5,-3,11,1,-2,,,4,7,1,8,13,11,44,4,11,8,9,21,24
1064, Sat,4,Mar,2006,1,16,22,32,33,40,48,,1,15,6,10,1,7,,-14,14,3,1,-9,3,,,2,6,4,7,10,13,42,2,8,10,11,17,23
1063, Wed,1,Mar,2006,15,16,19,28,38,42,20,,15,1,3,9,10,4,,8,-6,-7,-4,4,-1,,,5,7,8,8,12,9,49,5,12,15,16,20,21
1062, Sat,25,Feb,2006,7,14,24,37,43,48,29,,7,7,10,13,6,5,,2,3,-8,5,-1,4,,,3,1,5,9,16,11,45,3,4,6,14,25,27
1061, Wed,22,Feb,2006,5,9,27,35,42,43,14,,5,4,18,8,7,1,,-4,-10,9,5,6,-3,,,3,5,1,9,12,16,46,3,8,6,10,21,28
1060, Sat,18,Feb,2006,9,23,32,35,36,40,5,,9,14,9,3,1,4,,4,8,8,-1,0,-24,,,5,3,5,8,16,13,50,5,8,8,13,24,29
1059, Wed,15,Feb,2006,5,11,12,16,17,45,42,,5,6,1,4,1,28,,1,1,-5,-6,-4,18,,,5,4,4,9,16,15,53,5,9,8,13,25,31
1058, Sat,11,Feb,2006,4,9,15,25,30,40,42,,4,5,6,10,5,10,,-5,-13,5,7,-5,9,,,2,4,2,8,9,14,39,2,6,6,10,17,23
1057, Wed,8,Feb,2006,9,27,28,31,41,42,25,,9,18,1,3,10,1,,8,16,-2,-13,9,-15,,,4,4,2,7,13,16,46,4,8,6,9,20,29
1056, Sat,4,Feb,2006,1,3,6,22,23,39,21,,1,2,3,16,1,16,,-4,-4,1,12,-26,12,,,5,6,8,7,16,13,55,5,11,14,15,23,29
1055, Wed,1,Feb,2006,5,11,13,17,44,48,25,,5,6,2,4,27,4,,-4,-3,-2,-3,26,-14,,,2,1,3,9,14,15,44,2,3,4,12,23,29
1054, Sat,28,Jan,2006,9,18,22,29,30,48,23,,9,9,4,7,1,18,,0,4,3,4,-7,-2,,,1,2,3,9,14,15,44,1,3,5,12,23,29
1053, Wed,25,Jan,2006,9,14,15,18,26,46,45,,9,5,1,3,8,20,,8,-19,0,2,-4,10,,,1,6,7,9,14,15,52,1,7,13,16,23,29
1052, Sat,21,Jan,2006,1,25,26,27,39,49,37,,1,24,1,1,12,10,,-1,23,-3,-16,-10,9,,,5,5,7,9,14,12,52,5,10,12,16,23,26
1051, Wed,18,Jan,2006,2,3,7,24,46,47,36,,2,1,4,17,22,1,,-2,-3,-4,10,17,-18,,,3,4,8,9,13,15,52,3,7,12,17,22,28
1050, Sat,14,Jan,2006,4,8,16,23,28,47,34,,4,4,8,7,5,19,,-1,3,6,-4,-10,15,,,5,4,4,7,11,13,44,5,9,8,11,18,24
1049, Wed,11,Jan,2006,5,6,8,19,34,38,11,,5,1,2,11,15,4,,-3,-5,-3,2,14,-15,,,2,5,7,8,11,11,44,2,7,12,15,19,22
1048, Sat,7,Jan,2006,8,14,19,28,29,48,6,,8,6,5,9,1,19,,1,0,-13,-3,-1,17,,,3,8,8,9,14,11,53,3,11,16,17,23,25
1047, Wed,4,Jan,2006,7,13,31,43,45,47,23,,7,6,18,12,2,2,,1,3,16,-10,-1,-11,,,2,1,7,8,14,11,43,2,3,8,15,22,25
1046, Sat,31,Dec,2005,6,9,11,33,36,49,29,,6,3,2,22,3,13,,0,1,0,13,-8,1,,,3,7,3,8,10,12,43,3,10,10,11,18,22
1045, Wed,28,Dec,2005,6,8,10,19,30,42,23,,6,2,2,9,11,12,,-11,-2,-2,7,8,5,,,4,1,1,7,11,14,38,4,5,2,8,18,25
1044, Sat,24,Dec,2005,17,21,25,27,30,37,16,,17,4,4,2,3,7,,12,3,-2,1,-15,-7,,,3,3,3,7,11,9,36,3,6,6,10,18,20
1043, Wed,21,Dec,2005,5,6,12,13,31,45,24,,5,1,6,1,18,14,,-2,-3,2,-5,4,2,,,5,6,7,9,15,13,55,5,11,13,16,24,28
1042, Sat,17,Dec,2005,7,11,15,21,35,47,43,,7,4,4,6,14,12,,0,2,-4,1,9,-1,,,4,7,2,8,13,9,43,4,11,9,10,21,22
1041, Wed,14,Dec,2005,7,9,17,22,27,40,41,,7,2,8,5,5,13,,-13,-1,6,0,4,-4,,,2,6,2,8,13,14,45,2,8,8,10,21,27
1040, Sat,10,Dec,2005,20,23,25,30,31,48,10,,20,3,2,5,1,17,,18,-3,-1,4,-9,13,,,2,3,4,9,9,12,39,2,5,7,13,18,21
1039, Wed,7,Dec,2005,2,8,11,12,22,26,46,,2,6,3,1,10,4,,0,-2,2,-16,2,-7,,,2,5,8,9,14,16,54,2,7,13,17,23,30
1038, Sat,3,Dec,2005,2,10,11,28,36,47,33,,2,8,1,17,8,11,,-5,1,-14,9,4,7,,,4,3,3,7,14,14,45,4,7,6,10,21,28
1037, Wed,30,Nov,2005,7,14,29,37,41,45,4,,7,7,15,8,4,4,,-12,-1,14,2,-1,-3,,,5,8,2,7,12,10,44,5,13,10,9,19,22
1036, Sat,26,Nov,2005,19,27,28,34,39,46,7,,19,8,1,6,5,7,,5,-11,-2,3,2,3,,,5,1,1,9,9,16,41,5,6,2,10,18,25
1035, Wed,23,Nov,2005,14,33,36,39,42,46,13,,14,19,3,3,3,4,,10,14,2,-6,-2,-9,,,2,5,6,9,14,13,49,2,7,11,15,23,27
1034, Sat,19,Nov,2005,4,9,10,19,24,37,28,,4,5,1,9,5,13,,0,0,-12,7,-1,2,,,3,7,1,9,9,10,39,3,10,8,10,18,19
1033, Wed,16,Nov,2005,4,9,22,24,30,41,20,,4,5,13,2,6,11,,-8,4,1,-3,-9,9,,,3,7,6,8,10,13,47,3,10,13,14,18,23
1032, Sat,12,Nov,2005,12,13,25,30,45,47,42,,12,1,12,5,15,2,,11,-13,4,-2,0,-2,,,1,6,7,9,10,9,42,1,7,13,16,19,19
1031, Wed,9,Nov,2005,1,15,23,30,45,49,33,,1,14,8,7,15,4,,-11,13,0,2,9,-3,,,4,8,6,9,9,15,51,4,12,14,15,18,24
1030, Sat,5,Nov,2005,12,13,21,26,32,39,17,,12,1,8,5,6,7,,-7,-5,1,-10,5,6,,,5,3,3,8,8,10,37,5,8,6,11,16,18
1029, Wed,2,Nov,2005,19,25,32,47,48,49,28,,19,6,7,15,1,1,,17,3,-1,-2,-8,-9,,,4,6,8,7,14,12,51,4,10,14,15,21,26
1028, Sat,29,Oct,2005,2,5,13,30,39,49,3,,2,3,8,17,9,10,,-8,-1,-4,15,4,5,,,1,5,1,8,15,8,38,1,6,6,9,23,23
1027, Wed,26,Oct,2005,10,14,26,28,33,38,23,,10,4,12,2,5,5,,-8,2,10,-6,3,-2,,,5,6,5,8,8,9,41,5,11,11,13,16,17
1026, Sat,22,Oct,2005,18,20,22,30,32,39,3,,18,2,2,8,2,7,,11,-9,0,7,-6,-11,,,2,6,3,7,16,15,49,2,8,9,10,23,31
1025, Wed,19,Oct,2005,7,18,20,21,29,47,31,,7,11,2,1,8,18,,3,8,-20,0,-4,16,,,3,5,5,9,13,10,45,3,8,10,14,22,23
1024, Sat,15,Oct,2005,4,7,29,30,42,44,39,,4,3,22,1,12,2,,-1,1,16,-1,8,-24,,,1,7,5,9,9,13,44,1,8,12,14,18,22
1023, Wed,12,Oct,2005,5,7,13,15,19,45,38,,5,2,6,2,4,26,,4,-11,0,0,1,25,,,3,1,8,9,11,9,41,3,4,9,17,20,20
1022, Sat,8,Oct,2005,1,14,20,22,25,26,9,,1,13,6,2,3,1,,-13,10,0,-5,-1,-7,,,2,1,3,7,13,9,35,2,3,4,10,20,22
1021, Wed,5,Oct,2005,14,17,23,30,34,42,19,,14,3,6,7,4,8,,10,1,-19,-4,0,7,,,3,6,6,9,13,14,51,3,9,12,15,22,27
1020, Sat,1,Oct,2005,4,6,31,42,46,47,11,,4,2,25,11,4,1,,-17,-9,16,10,3,-2,,,3,3,7,7,8,10,38,3,6,10,14,15,18
1019, Wed,28,Sep,2005,21,32,41,42,43,46,17,,21,11,9,1,1,3,,19,2,-7,-1,-6,-5,,,4,7,3,9,15,8,46,4,11,10,12,24,23
1018, Sat,24,Sep,2005,2,11,27,29,36,44,15,,2,9,16,2,7,8,,0,-12,6,0,2,6,,,1,5,5,9,15,13,48,1,6,10,14,24,28
1017, Wed,21,Sep,2005,2,23,33,35,40,42,25,,2,21,10,2,5,2,,-7,9,8,-6,-4,-4,,,4,2,4,9,11,15,45,4,6,6,13,20,26
1016, Sat,17,Sep,2005,9,21,23,31,40,46,8,,9,12,2,8,9,6,,-6,7,0,5,-1,2,,,1,1,4,8,12,9,35,1,2,5,12,20,21
1015, Wed,14,Sep,2005,15,20,22,25,35,39,36,,15,5,2,3,10,4,,14,-2,-14,0,3,-8,,,2,1,1,7,16,12,39,2,3,2,8,23,28
1014, Sat,10,Sep,2005,1,8,24,27,34,46,30,,1,7,16,3,7,12,,0,3,14,-31,5,6,,,1,4,4,9,15,15,48,1,5,8,13,24,30
1013, Wed,7,Sep,2005,1,5,7,41,43,49,45,,1,4,2,34,2,6,,-13,-8,-6,33,1,-3,,,2,3,1,7,15,11,39,2,5,4,8,22,26
1012, Sat,3,Sep,2005,14,26,34,35,36,45,32,,14,12,8,1,1,9,,10,6,4,-6,-10,-8,,,2,6,3,7,14,10,42,2,8,9,10,21,24
1011, Wed,31,Aug,2005,4,10,14,21,32,49,44,,4,6,4,7,11,17,,-2,-1,0,1,2,6,,,4,1,1,8,14,11,39,4,5,2,9,22,25
1010, Sat,27,Aug,2005,6,13,17,23,32,43,49,,6,7,4,6,9,11,,5,-32,1,5,5,10,,,2,1,1,8,10,16,38,2,3,2,9,18,26
1009, Wed,24,Aug,2005,1,40,43,44,48,49,2,,1,39,3,1,4,1,,-6,35,2,-7,-14,-5,,,2,4,6,7,16,14,49,2,6,10,13,23,30
1008, Sat,20,Aug,2005,7,11,12,20,38,44,45,,7,4,1,8,18,6,,4,-3,-2,-1,9,4,,,3,8,8,7,11,14,51,3,11,16,15,18,25
1007, Wed,17,Aug,2005,3,10,13,22,31,33,15,,3,7,3,9,9,2,,-16,4,-5,4,0,-2,,,4,3,2,9,10,14,42,4,7,5,11,19,24
1006, Sat,13,Aug,2005,19,22,30,35,44,48,3,,19,3,8,5,9,4,,11,-4,-7,4,6,-5,,,3,6,7,9,14,15,54,3,9,13,16,23,29
1005, Wed,10,Aug,2005,8,15,30,31,34,43,40,,8,7,15,1,3,9,,5,4,14,-9,-10,5,,,3,2,4,8,9,9,35,3,5,6,12,17,18
1004, Sat,6,Aug,2005,3,6,7,17,30,34,8,,3,3,1,10,13,4,,1,-5,-19,4,12,-2,,,5,3,2,9,14,8,41,5,8,5,11,23,22
1003, Wed,3,Aug,2005,2,10,30,36,37,43,29,,2,8,20,6,1,6,,-1,2,16,-16,-7,4,,,4,2,6,9,9,8,38,4,6,8,15,18,17
1002, Sat,30,Jul,2005,3,9,13,35,43,45,8,,3,6,4,22,8,2,,-7,4,3,18,-6,-4,,,2,8,7,8,9,13,47,2,10,15,15,17,22
1001, Wed,27,Jul,2005,10,12,13,17,31,37,44,,10,2,1,4,14,6,,3,-3,-3,-4,9,-2,,,1,6,8,8,12,14,49,1,7,14,16,20,26
1000, Sat,23,Jul,2005,7,12,16,24,29,37,44,,7,5,4,8,5,8,,3,-20,-6,6,3,6,,,5,7,7,9,13,8,49,5,12,14,16,22,21
999, Wed,20,Jul,2005,4,29,39,41,43,45,42,,4,25,10,2,2,2,,2,24,-8,-1,-12,-4,,,3,2,4,7,12,12,40,3,5,6,11,19,24
998, Sat,16,Jul,2005,2,3,21,24,38,44,47,,2,1,18,3,14,6,,-1,-21,7,0,11,1,,,4,1,2,7,13,11,38,4,5,3,9,20,24
997, Wed,13,Jul,2005,3,25,36,39,42,47,23,,3,22,11,3,3,5,,-4,9,9,2,-8,2,,,2,2,7,9,16,9,45,2,4,9,16,25,25
996, Sat,9,Jul,2005,7,20,22,23,34,37,38,,7,13,2,1,11,3,,4,4,-3,-18,3,-2,,,4,3,8,8,16,15,54,4,7,11,16,24,31
995, Wed,6,Jul,2005,3,12,17,36,44,49,20,,3,9,5,19,8,5,,-5,-8,-3,17,5,3,,,1,1,3,9,14,11,39,1,2,4,12,23,25
994, Sat,2,Jul,2005,8,25,33,35,38,40,7,,8,17,8,2,3,2,,1,12,-3,-1,0,-13,,,5,8,7,7,9,11,47,5,13,15,14,16,20
993, Wed,29,Jun,2005,7,12,23,26,29,44,31,,7,5,11,3,3,15,,-8,-3,7,-8,-3,10,,,5,7,8,9,9,9,47,5,12,15,17,18,18
992, Sat,25,Jun,2005,15,23,27,38,44,49,34,,15,8,4,11,6,5,,14,5,1,-26,3,4,,,5,7,3,7,9,14,45,5,12,10,10,16,23
991, Wed,22,Jun,2005,1,4,7,44,47,48,14,,1,3,3,37,3,1,,-3,0,-16,22,2,-6,,,3,3,6,8,15,12,47,3,6,9,14,23,27
990, Sat,18,Jun,2005,4,7,26,41,42,49,37,,4,3,19,15,1,7,,-3,-1,18,-10,-4,4,,,2,5,8,8,14,13,50,2,7,13,16,22,27
989, Wed,15,Jun,2005,7,11,12,37,42,45,4,,7,4,1,25,5,3,,6,3,-15,18,-4,-8,,,3,8,4,7,12,15,49,3,11,12,11,19,27
988, Sat,11,Jun,2005,1,2,18,25,34,45,31,,1,1,16,7,9,11,,-10,-1,3,-1,-1,7,,,4,3,4,9,15,15,50,4,7,7,13,24,30
987, Wed,8,Jun,2005,11,13,26,34,44,48,2,,11,2,13,8,10,4,,5,0,8,6,4,-15,,,3,1,1,7,9,10,31,3,4,2,8,16,19
986, Sat,4,Jun,2005,6,8,13,15,21,40,35,,6,2,5,2,6,19,,3,-6,-1,0,5,-2,,,1,1,8,8,11,13,42,1,2,9,16,19,24
985, Wed,1,Jun,2005,3,11,17,19,20,41,6,,3,8,6,2,1,21,,-7,2,1,-1,-9,9,,,1,7,3,9,8,10,38,1,8,10,12,17,18
984, Sat,28,May,2005,10,16,21,24,34,46,30,,10,6,5,3,10,12,,-4,2,-6,-1,6,10,,,3,1,5,8,11,8,36,3,4,6,13,19,19
983, Wed,25,May,2005,14,18,29,33,37,39,47,,14,4,11,4,4,2,,0,-16,7,-1,0,1,,,4,6,2,9,10,11,42,4,10,8,11,19,21
982, Sat,21,May,2005,14,34,38,43,47,48,9,,14,20,4,5,4,1,,10,5,1,0,3,-18,,,3,6,7,8,11,9,44,3,9,13,15,19,20
981, Wed,18,May,2005,4,19,22,27,28,47,41,,4,15,3,5,1,19,,-8,9,-1,-6,-9,14,,,2,6,8,8,12,13,49,2,8,14,16,20,25
980, Sat,14,May,2005,12,18,22,33,43,48,25,,12,6,4,11,10,5,,11,1,-1,5,-2,-9,,,1,4,3,9,15,15,47,1,5,7,12,24,30
979, Wed,11,May,2005,1,6,11,17,29,43,8,,1,5,5,6,12,14,,-1,1,-10,-7,11,0,,,2,6,3,8,12,12,43,2,8,9,11,20,24
978, Sat,7,May,2005,2,6,21,34,35,49,46,,2,4,15,13,1,14,,-28,-1,12,10,-3,11,,,5,3,8,9,12,9,46,5,8,11,17,21,21
977, Wed,4,May,2005,30,35,38,41,45,48,46,,30,5,3,3,4,3,,28,-16,0,-1,-5,-5,,,2,5,6,9,15,13,50,2,7,11,15,24,28
976, Sat,30,Apr,2005,2,23,26,30,39,47,31,,2,21,3,4,9,8,,0,8,-2,0,1,-7,,,3,3,8,9,14,14,51,3,6,11,17,23,28
975, Wed,27,Apr,2005,2,15,20,24,32,47,29,,2,13,5,4,8,15,,-1,-2,-2,0,6,3,,,5,3,5,9,13,11,46,5,8,8,14,22,24
974, Sat,23,Apr,2005,3,18,25,29,31,43,23,,3,15,7,4,2,12,,-10,2,6,-7,-1,10,,,4,3,7,7,8,15,44,4,7,10,14,15,23
973, Wed,20,Apr,2005,13,26,27,38,41,43,35,,13,13,1,11,3,2,,-12,12,-5,4,2,0,,,2,8,7,7,16,9,49,2,10,15,14,23,25
972, Sat,16,Apr,2005,25,26,32,39,40,42,41,,25,1,6,7,1,2,,11,-8,-7,3,0,-5,,,2,8,1,8,9,14,42,2,10,9,9,17,23
971, Wed,13,Apr,2005,14,23,36,40,41,48,6,,14,9,13,4,1,7,,0,1,10,2,-17,5,,,5,3,7,7,8,15,45,5,8,10,14,15,23
970, Sat,9,Apr,2005,14,22,25,27,45,47,8,,14,8,3,2,18,2,,-8,4,-7,-5,16,-2,,,2,5,1,7,8,13,36,2,7,6,8,15,21
969, Wed,6,Apr,2005,22,26,36,43,45,49,6,,22,4,10,7,2,4,,4,-4,9,5,-3,-4,,,4,2,3,9,9,14,41,4,6,5,12,18,23
968, Sat,2,Apr,2005,18,26,27,29,34,42,36,,18,8,1,2,5,8,,17,-2,-11,-1,2,6,,,1,1,3,8,13,16,42,1,2,4,11,21,29
967, Wed,30,Mar,2005,1,11,23,26,29,31,39,,1,10,12,3,3,2,,-4,-6,10,-2,-9,-6,,,4,3,7,7,8,10,39,4,7,10,14,15,18
966, Sat,26,Mar,2005,5,21,23,28,40,48,26,,5,16,2,5,12,8,,-7,14,-9,0,10,2,,,5,5,2,9,14,9,44,5,10,7,11,23,23
965, Wed,23,Mar,2005,12,14,25,30,32,38,42,,12,2,11,5,2,6,,6,0,1,-10,-8,0,,,3,4,2,9,14,11,43,3,7,6,11,23,25
964, Sat,19,Mar,2005,6,8,18,33,43,49,27,,6,2,10,15,10,6,,3,-2,8,3,-4,2,,,4,1,6,8,14,16,49,4,5,7,14,22,30
